Province,Rate
Bangkok,0.116044379
Nonthaburi,0.113318183
Pathum Thani,0.193667388
Samut Prakan,0.166120485
Samut Sakhon,0.08951569
Nakhon Pathom,0.142577935
Phuket,0.238847894
Krabi,0.00879928
Kanchanaburi,0.128274705
Kalasin,0.075728916
Kamphaeng Phet,0.065386928
Khon Kaen,0.188276958
Chanthaburi,0.155117703
Chachoengsao,0.081958183
Chai Nat,0.018592971
Chaiyaphum,0.029986771
Chumphon,0.22103421
Chonburi,0.126699332
Chiang Mai,0.129657609
Chiang Rai,0.076790759
Trang,0.189535101
Trat,0.084422026
Tak,0.131519927
Nakhon Nayok,0.056744278
Nakhon Phanom,0.01163958
Nakhon Ratchasima,0.110895985
Nakhon Si Thammarat,0.158968104
Nakhon Sawan,0.060647306
Narathiwat,0.441560606
Nan,0.015264592
Bueng Kan,0.025926214
Buriram,0.024712881
Prachuap Khiri Khan,0.187130779
Prachinburi,0.100136351
Pattani,0.539742169
Phayao,0.041730337
Phra Nakhon Si Ayutthaya,0.051612903
Phang Nga,0.2000056
Phichit,0.042923757
Phitsanulok,0.098312908
Phetchaburi,0.1155327
Phetchabun,0.052984982
Phrae,0.067420679
Phatthalung,0.168351835
Maha Sarakham,0.027613751
Mukdahan,0.049405536
Mae Hong Son,0.093621372
Yasothon,0.053643379
Yala,0.167045391
Roi Et,0.045514742
Ranong,0.041135296
Rayong,0.296152707
Ratchaburi,0.163271783
Lopburi,0.091652728
Lampang,0.035801995
Lamphun,0.020757809
Loei,0.138188789
Sisaket,0.017089397
Sakon Nakhon,0.029854515
Songkhla,0.285395588
Samut Songkhram,0.035982273
Sa Kaeo,0.13136735
Saraburi,0.251128391
Sing Buri,0.053294755
Sukhothai,0.040320646
Suphan Buri,0.018174413
Surat Thani,0.054778219
Surin,0.043646197
Satun,0.12581806
Nong Khai,0.120305263
Nong Bua Lamphu,0.018864602
Amnat Charoen,0.01327907
Udon Thani,0.05019305
Uttaradit,0.065317126
Uthai Thani,0.042333333
Ubon Ratchathani,0.045307502
Ang Thong,0.133793651
