,Province,Cluster_1,Cluster_2,Level
0,Amnat Charoen,3,3,2
1,Ang Thong,3,3,1
2,Bangkok,2,2,4
3,Bueng Kan,3,3,3
4,Buriram,3,3,2
5,Chachoengsao,2,1,1
6,Chai Nat,3,3,2
7,Chaiyaphum,3,3,2
8,Chanthaburi,1,1,0
9,Chiang Mai,1,1,1
10,Chiang Rai,3,3,1
11,Chonburi,2,2,1
12,Chumphon,1,1,1
13,Kalasin,3,3,2
14,Kamphaeng Phet,3,3,2
15,Kanchanaburi,1,1,1
16,Khon Kaen,3,3,1
17,Krabi,1,1,4
18,Lampang,3,3,2
19,Lamphun,3,3,2
20,Loei,3,3,2
21,Lopburi,3,3,1
22,Mae Hong Son,3,3,2
23,Maha Sarakham,3,3,2
24,Mukdahan,3,3,3
25,Nakhon Nayok,3,3,1
26,Nakhon Pathom,3,3,1
27,Nakhon Phanom,3,3,3
28,Nakhon Ratchasima,3,3,1
29,Nakhon Sawan,3,3,1
30,Nakhon Si Thammarat,1,1,0
31,Nan,3,3,3
32,Narathiwat,0,0,0
33,Nong Bua Lamphu,3,3,1
34,Nong Khai,3,3,2
35,Nonthaburi,2,1,2
36,Pathum Thani,2,2,1
37,Pattani,0,0,0
38,Phang Nga,2,2,4
39,Phatthalung,1,1,1
40,Phayao,3,3,2
41,Phetchabun,3,3,1
42,Phetchaburi,1,1,1
43,Phichit,3,3,1
44,Phitsanulok,3,3,1
45,Phra Nakhon Si Ayutthaya,3,1,1
46,Phrae,3,3,2
47,Phuket,2,2,4
48,Prachinburi,1,1,1
49,Prachuap Khiri Khan,1,1,1
50,Ranong,2,2,1
51,Ratchaburi,1,1,1
52,Rayong,1,1,1
53,Roi Et,3,3,2
54,Sa Kaeo,3,3,1
55,Sakon Nakhon,3,3,3
56,Samut Prakan,2,2,1
57,Samut Sakhon,2,2,1
58,Samut Songkhram,3,3,1
59,Saraburi,1,1,1
60,Satun,1,1,1
61,Sing Buri,3,3,2
62,Sisaket,3,3,2
63,Songkhla,1,1,0
64,Sukhothai,3,3,2
65,Suphan Buri,3,3,1
66,Surat Thani,1,1,1
67,Surin,3,3,2
68,Tak,1,1,0
69,Trang,1,1,1
70,Trat,1,1,1
71,Ubon Ratchathani,3,3,1
72,Udon Thani,3,3,1
73,Uthai Thani,3,3,2
74,Uttaradit,3,3,2
75,Yala,0,0,0
76,Yasothon,3,3,2
