,Province,Province_TH,Link
0,Bangkok,กรุงเทพมหานคร,https://public.tableau.com/shared/SCTC8DFM5?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
1,Nonthaburi,นนทบุรี,https://public.tableau.com/shared/SFP9SZWF5?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
2,Pathum Thani,ปทุมธานี,https://public.tableau.com/shared/TY4PH2DZP?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
3,Samut Prakan,สมุทรปราการ,https://public.tableau.com/shared/BWRHK2M6P?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
4,Samut Sakhon,สมุทรสาคร,https://public.tableau.com/shared/7KMMJWT5T?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
5,Nakhon Pathom,นครปฐม,https://public.tableau.com/shared/NT589CDX2?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
6,Phuket,ภูเก็ต,https://public.tableau.com/shared/TH9X9PXQT?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
7,Krabi,กระบี่,https://public.tableau.com/shared/HSMSX6N8X?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
8,Kanchanaburi,กาญจนบุรี,https://public.tableau.com/shared/FWDRYMXPQ?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
9,Kalasin,กาฬสินธุ์,https://public.tableau.com/shared/NDFZ742QJ?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
10,Kamphaeng Phet,กำแพงเพชร,https://public.tableau.com/shared/8PPZ4K78M?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
11,Khon Kaen,ขอนแก่น,https://public.tableau.com/shared/XWQSH9YMM?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
12,Chanthaburi,จันทบุรี,https://public.tableau.com/shared/D76BZ7QS6?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
13,Chachoengsao,ฉะเชิงเทรา,https://public.tableau.com/shared/ZNWXPWNHF?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
14,Chai Nat,ชัยนาท,https://public.tableau.com/shared/QFFYSBR3S?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
15,Chaiyaphum,ชัยภูมิ,https://public.tableau.com/shared/T8B9N2SST?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
16,Chumphon,ชุมพร,https://public.tableau.com/shared/2XKXFX3K9?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
17,Chonburi,ชลบุรี,https://public.tableau.com/shared/WHYNCFF9Q?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
18,Chiang Mai,เชียงใหม่,https://public.tableau.com/shared/TR24XPKDY?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
19,Chiang Rai,เชียงราย,https://public.tableau.com/shared/CX589K5HM?:toolbar=n&:tabs=n&:display_count=n&:origin=viz_share_link&:embed=y
